epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.6544,1.79462,1.40555,1.11708,0.80969,0.71814,0.79489,0.45226,1.54275,0.8316,1.0383,0.00066537,0.00066537,0.00066537
2,155.878,1.56603,0.82364,1.03337,0.83437,0.74053,0.8236,0.48502,1.46999,0.78513,1.02024,0.00130566,0.00130566,0.00130566
3,221.321,1.5279,0.7918,1.02251,0.83693,0.75358,0.82957,0.48507,1.48648,0.75987,1.02913,0.00191955,0.00191955,0.00191955
4,287.068,1.50277,0.7722,1.01442,0.84382,0.74209,0.82376,0.49072,1.46134,0.74723,1.02139,0.0018812,0.0018812,0.0018812
5,353.261,1.48441,0.74652,1.00583,0.86124,0.77328,0.8493,0.5181,1.41564,0.70101,1.00238,0.0018416,0.0018416,0.0018416
6,419.485,1.47457,0.73694,1.00205,0.85736,0.77031,0.84788,0.51683,1.40576,0.69485,0.99872,0.001802,0.001802,0.001802
7,485.793,1.45844,0.72213,0.99946,0.86896,0.78015,0.8586,0.52689,1.40062,0.68617,0.99587,0.0017624,0.0017624,0.0017624
8,552.003,1.44622,0.71211,0.99489,0.86647,0.77562,0.8555,0.52564,1.39749,0.68081,0.99654,0.0017228,0.0017228,0.0017228
9,617.88,1.43957,0.70723,0.99161,0.87379,0.79199,0.86759,0.53719,1.38159,0.65726,0.99169,0.0016832,0.0016832,0.0016832
10,683.947,1.43532,0.70045,0.98965,0.87247,0.78936,0.86493,0.53439,1.38204,0.66229,0.98954,0.0016436,0.0016436,0.0016436
11,750.117,1.43124,0.6941,0.98834,0.87679,0.79806,0.8692,0.54062,1.37111,0.65156,0.98742,0.001604,0.001604,0.001604
12,815.433,1.42104,0.6855,0.98432,0.88084,0.8045,0.87538,0.5451,1.36623,0.64303,0.98345,0.0015644,0.0015644,0.0015644
13,881.349,1.41149,0.67697,0.98196,0.88159,0.79761,0.87476,0.54772,1.35829,0.64358,0.98165,0.0015248,0.0015248,0.0015248
14,948.166,1.41644,0.67886,0.98268,0.88573,0.80347,0.8786,0.55065,1.35308,0.63523,0.97824,0.0014852,0.0014852,0.0014852
15,1014.3,1.40518,0.67258,0.98131,0.88445,0.80485,0.87839,0.54994,1.35523,0.63656,0.97972,0.0014456,0.0014456,0.0014456
16,1079.74,1.40372,0.67025,0.97976,0.88197,0.80164,0.87531,0.54747,1.35853,0.63243,0.9821,0.001406,0.001406,0.001406
17,1145.85,1.40418,0.66921,0.97938,0.88229,0.80962,0.87774,0.55021,1.3538,0.63184,0.97921,0.0013664,0.0013664,0.0013664
18,1212.32,1.39927,0.66393,0.97808,0.88735,0.80617,0.88033,0.5536,1.34633,0.62507,0.9758,0.0013268,0.0013268,0.0013268
19,1278.09,1.39745,0.662,0.97698,0.88932,0.81193,0.88461,0.55734,1.34513,0.6174,0.97618,0.0012872,0.0012872,0.0012872
20,1343.86,1.38887,0.65719,0.97685,0.88455,0.806,0.88398,0.55576,1.34813,0.62375,0.97724,0.0012476,0.0012476,0.0012476
21,1410.19,1.38985,0.65574,0.97524,0.89086,0.81212,0.8868,0.55742,1.33786,0.61994,0.97576,0.001208,0.001208,0.001208
22,1476.21,1.38328,0.65047,0.9724,0.8884,0.81468,0.88594,0.55986,1.33801,0.61261,0.97433,0.0011684,0.0011684,0.0011684
23,1542.12,1.38561,0.65193,0.97398,0.88725,0.8144,0.8885,0.55943,1.34262,0.61558,0.97577,0.0011288,0.0011288,0.0011288
24,1607.65,1.3829,0.64716,0.96968,0.89247,0.81303,0.88592,0.55943,1.33515,0.60934,0.97429,0.0010892,0.0010892,0.0010892
25,1674.43,1.37956,0.64658,0.97002,0.8916,0.81749,0.88947,0.56207,1.33583,0.60484,0.97294,0.0010496,0.0010496,0.0010496
26,1739.96,1.37685,0.64366,0.96883,0.89304,0.81516,0.88723,0.56245,1.32937,0.60732,0.9705,0.00101,0.00101,0.00101
27,1806.87,1.37047,0.63872,0.96864,0.89498,0.81913,0.89297,0.56486,1.33198,0.60265,0.97143,0.0009704,0.0009704,0.0009704
28,1873.08,1.37459,0.63928,0.96865,0.89397,0.81922,0.89251,0.56621,1.32593,0.60316,0.96949,0.0009308,0.0009308,0.0009308
29,1938.83,1.36735,0.63623,0.96847,0.89537,0.81744,0.89153,0.5647,1.32806,0.6001,0.96913,0.0008912,0.0008912,0.0008912
30,2004.35,1.36377,0.6328,0.9663,0.89624,0.81945,0.89189,0.56726,1.32446,0.59543,0.96938,0.0008516,0.0008516,0.0008516
31,2070.52,1.3653,0.63493,0.96526,0.89671,0.82121,0.89412,0.56882,1.32211,0.59504,0.96848,0.000812,0.000812,0.000812
